Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.19     91.95     0.21 40376358     0.00     0.00  std::deque<int, std::allocator<int> >::_M_destroy_data(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::allocator<int> const&)
  0.19     92.16     0.21 115451884     0.00     0.00  condition::~condition()
  0.18     92.36     0.21 153305646     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::operator++()
  0.18     92.56     0.20 208773344     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_end()
  0.18     92.76     0.20 115458790     0.00     0.00  std::_Iter_base<char*, false>::_S_base(char*)
  0.18     92.96     0.20 60699678     0.00     0.00  void std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_construct_node<int const&>(std::_Rb_tree_node<int>*, int const&)
  0.17     93.16     0.20                             void std::deque<std::set<int, std::less<int>, std::allocator<int> >, std::allocator<std::set<int, std::less<int>, std::allocator<int> > > >::_M_push_back_aux<std::set<int, std::less<int>, std::allocator<int> > const&>(std::set<int, std::less<int>, std::allocator<int> > const&)
  0.17     93.35     0.19 100034658     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.17     93.54     0.19 20188179     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_Deque_base(std::_Deque_base<int, std::allocator<int> >&&, std::integral_constant<bool, true>)
  0.17     93.73     0.19  2001217     0.00     0.00  std::_Rb_tree<std::set<int, std::less<int>, std::allocator<int> >, std::set<int, std::less<int>, std::allocator<int> >, std::_Identity<std::set<int, std::less<int>, std::allocator<int> > >, std::less<std::set<int, std::less<int>, std::allocator<int> > >, std::allocator<std::set<int, std::less<int>, std::allocator<int> > > >::_M_lower_bound(std::_Rb_tree_node<std::set<int, std::less<int>, std::allocator<int> > >*, std::_Rb_tree_node<std::set<int, std::less<int>, std::allocator<int> > >*, std::set<int, std::less<int>, std::allocator<int> > const&)
  0.16     93.91     0.19 112327143     0.00     0.00  std::allocator_traits<std::allocator<char> >::deallocate(std::allocator<char>&, char*, unsigned long)
  0.16     94.10     0.19 33231878     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::insert(int const&)
  0.16     94.28     0.19 20188179     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::queue(std::deque<int, std::allocator<int> >&&)
  0.16     94.47     0.19                             std::_Rb_tree_iterator<std::pair<int const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator*() const
  0.16     94.65     0.18 200069316     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.16     94.83     0.18 175385924     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_value(std::_Rb_tree_node_base const*)
  0.16     95.01     0.18 170970456     0.00     0.00  std::_Niter_base<std::_Rb_tree_const_iterator<int> >::iterator_type std::__niter_base<std::_Rb_tree_const_iterator<int> >(std::_Rb_tree_const_iterator<int>)
  0.16     95.19     0.18 40376358     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_create_nodes(int**, int**)
  0.16     95.37     0.18  6425432     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::~new_allocator()
  0.16     95.55     0.18      110     0.00     0.00  std::_Rb_tree_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >::_M_valptr() const
  0.16     95.72     0.18 40376358     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::~_Deque_base()
  0.16     95.90     0.18 153305646     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::operator*() const
  0.16     96.07     0.18 115451875     0.00     0.00  char* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*, char>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*, std::allocator<char>&)
  0.15     96.24     0.17  1548631     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_copy<std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node>(std::_Rb_tree_node<int> const*, std::_Rb_tree_node<int>*, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node&)
  0.15     96.41     0.17 179393956     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::end() const
  0.15     96.58     0.17 176373252     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_begin()
  0.15     96.75     0.17 115453302     0.00     0.00  void std::_Destroy<char*, char>(char*, char*, std::allocator<char>&)
  0.15     96.92     0.17 115451875     0.00     0.00  char* std::uninitialized_copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.15     97.09     0.17 60699678     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::construct<int, int const&>(int*, int const&)
  0.15     97.26     0.17 40376358     0.00     0.00  std::allocator_traits<std::allocator<int*> >::deallocate(std::allocator<int*>&, int**, unsigned long)
  0.15     97.43     0.17 42742614     0.00     0.00  bool std::lexicographical_compare<std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int> >(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>)
  0.14     97.59     0.16 27467800     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_clone_node<std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node>(std::_Rb_tree_node<int> const*, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node&)
  0.14     97.75     0.16 115453302     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::~_Vector_impl()
  0.14     97.91     0.16 112327143     0.00     0.00  __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)
  0.14     98.07     0.16 99097235     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.14     98.23     0.16 60699678     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node::operator()<int const&>(int const&) const
  0.14     98.39     0.16  4356582     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_val<find_actions_forward_astar(int, std::set<int, std::less<int>, std::allocator<int> >, std::set<int, std::less<int>, std::allocator<int> >&, std::vector<action, std::allocator<action> >&)::{lambda(node const*, node const*)#1}>::operator()<__gnu_cxx::__normal_iterator<node**, std::vector<__gnu_cxx::__normal_iterator, std::allocator<__gnu_cxx::__normal_iterator> > >, __gnu_cxx::__normal_iterator>(__gnu_cxx::__normal_iterator<node**, std::vector<__gnu_cxx::__normal_iterator, std::allocator<__gnu_cxx::__normal_iterator> > >, __gnu_cxx::__normal_iterator&)
  0.14     98.54     0.16 42742614     0.00     0.00  bool std::operator< <int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >(std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> > const&, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> > const&)
